age,monthly_income,loan_amount,repayment_period,transaction_volume_mtd,avg_mpesa_balance,utility_payment_timeliness,has_previous_loan,gender,region,default
56,97050,4775,7,77,2296,on-time,0,F,Nairobi,0
46,23323,3421,30,129,9995,on-time,0,M,Nairobi,0
32,23019,14025,60,9,1075,early,0,F,Nairobi,1
25,80426,10280,14,58,6221,on-time,0,M,Nyeri,0
38,45863,37951,7,90,1128,on-time,1,F,Eldoret,1
56,15283,12351,7,7,625,on-time,0,F,Kisumu,1
36,23279,39091,60,42,2427,on-time,1,M,Nyeri,1
40,51999,46656,14,146,2646,on-time,0,F,Nairobi,1
28,67780,31171,14,146,935,on-time,1,M,Mombasa,0
28,27908,4644,14,77,2583,early,1,M,Mombasa,0
41,66584,17142,60,42,2834,on-time,0,M,Eldoret,0
53,55225,8773,7,129,9830,late,1,F,Kisumu,1
57,42952,29466,7,74,7404,late,1,M,Kisumu,1
41,42663,11778,14,69,4149,on-time,1,F,Eldoret,1
20,66381,13501,60,29,9595,early,1,M,Nairobi,0
39,52929,48177,60,20,8423,on-time,0,F,Nairobi,1
19,14343,3108,60,19,492,on-time,1,F,Kisumu,0
41,81173,30369,14,135,2566,on-time,1,F,Kisumu,0
47,44791,37382,60,41,1325,on-time,0,F,Kisumu,1
55,34134,26818,14,129,2805,late,1,M,Nairobi,1
19,52101,11251,14,117,561,on-time,1,M,Mombasa,1
38,74443,24341,14,5,4085,on-time,1,M,Eldoret,1
50,62530,12678,30,75,251,on-time,1,M,Eldoret,0
29,51799,15367,14,107,1885,early,1,F,Nyeri,1
39,9827,30672,60,23,6342,early,0,M,Nyeri,1
42,67653,5332,30,56,8245,late,1,F,Mombasa,1
44,18699,13002,7,122,6456,on-time,1,F,Kisumu,1
59,96419,21284,7,111,7410,on-time,1,M,Mombasa,0
45,10313,16700,60,59,6945,on-time,1,M,Nyeri,1
33,18598,14769,60,18,3560,late,0,M,Nyeri,1
32,33807,30318,60,17,1936,on-time,0,M,Eldoret,1
20,75423,25323,60,88,9689,early,1,M,Mombasa,1
54,74390,28610,30,94,9367,on-time,1,F,Nairobi,0
24,50226,7963,60,31,5843,on-time,0,M,Nyeri,0
38,64550,8838,14,93,6378,on-time,1,M,Eldoret,0
26,85072,46167,7,141,1593,on-time,0,M,Kisumu,1
56,8558,13243,60,45,9427,early,0,F,Mombasa,1
35,80308,28939,14,52,1648,late,1,M,Nyeri,1
21,55113,2845,60,16,9076,on-time,0,F,Nairobi,0
42,57999,47710,14,142,5263,on-time,1,F,Nyeri,1
31,60878,17766,30,10,9712,on-time,0,F,Nairobi,0
26,41343,37880,7,45,5804,on-time,0,M,Mombasa,1
43,63219,13780,7,10,6504,on-time,1,F,Nairobi,0
19,40186,49458,30,134,6788,early,1,F,Nairobi,1
37,41966,43856,14,19,3751,on-time,1,F,Eldoret,1
45,38769,2509,60,149,2163,on-time,0,M,Mombasa,0
24,58218,24957,14,20,2120,late,1,F,Nyeri,1
25,24229,46172,7,89,4857,on-time,0,M,Kisumu,1
52,80209,35346,30,14,6023,on-time,1,F,Mombasa,0
31,32877,18263,30,142,7453,on-time,0,F,Mombasa,1
34,63001,47874,14,142,9242,on-time,1,M,Kisumu,1
53,43084,27148,14,23,8316,on-time,1,F,Nyeri,1
57,86780,32533,30,72,8309,on-time,1,F,Eldoret,1
